Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,EmailBouncedReason,EmailBouncedDate,Jigsaw,ccrz__CompanyName__c,ccrz__CompanyType__c,ccrz__DataId__c,ccrz__IsPortalUser__c,ccrz__SelfRegistered__c,Product_Areas__c
165aebd9-ee50-4a10-b112-55df95965679,99e5f95b-251e-4ca9-b53d-22fde00f8922,two,one,Ms.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,three,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17bb64a3-f15f-4e31-9b25-40f8c5fc1502,f35c187c-dfbd-4091-a31c-e5d7eb5e2d92,Doe,Jane,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1affe41e-30b1-4dcd-b70b-08138baa0551,08a3581b-35ca-4088-9411-63ffcba5dc44,Stamos,Edward,#N/A,10 Main Rd.,New York City,NY,31349,USA,#N/A,#N/A,#N/A,10 Main Rd.,New York City,NY,31349,USA,#N/A,#N/A,#N/A,(212) 555-5555,(212) 555-5555,#N/A,#N/A,#N/A,#N/A,#N/A,info@salesforce.com,President and CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
305bda67-e36b-4cf6-b2c3-d8120d5166fd,99e5f95b-251e-4ca9-b53d-22fde00f8922,surname,name,Ms.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123456,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
474a21ee-dbf2-42b8-b94b-1a7227691590,bd4800a0-9dc3-4afe-b5c9-19d1f5d40d60,X,Andreea,Ms.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,353465768,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5e71139c-8c20-45fe-8965-12d4be421555,bd4800a0-9dc3-4afe-b5c9-19d1f5d40d60,X,Luda,Ms.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123456,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8b10ab6a-7095-4aad-8caa-3673921237ff,#N/A,surname1,name1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,654321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b282603f-1bc7-4d9f-b36d-672913ddc5c3,08a3581b-35ca-4088-9411-63ffcba5dc44,Jones,Howard,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,(212) 555-5555,(212) 555-5555,#N/A,#N/A,#N/A,#N/A,#N/A,info@salesforce.com,Buyer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b548ada7-f3b0-459b-b420-495296861498,08a3581b-35ca-4088-9411-63ffcba5dc44,Tomlin,Leanne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,(212) 555-5555,(212) 555-5555,#N/A,#N/A,#N/A,#N/A,#N/A,info@salesforce.com,VP Customer Support,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a2ede309-9329-4f55-bf47-b94f42ebd1b4,40337f64-f121-4248-89d0-f096e87daa1d,30.4,Andreea,Ms.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
75c04714-46b6-45a7-9247-10defc409260,6e673ee8-964b-4f68-a02f-800eb1626c4e,Maynord,Tamarah,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(731) 388-3197,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+456@gmail.com,Director,#N/A,#N/A,#N/A,1978-02-04,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
06351f3a-d8b1-425b-a094-11964076e876,67703094-d179-4664-a050-b1737b793a14,Skelly,Chanda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(754) 593-2809,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+385@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
a6e43af2-88d9-47af-bee1-3308ffe94b99,6fe5e02f-0ffc-4eaf-9d3f-f2ec795277d1,Egon,Jerrie,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+702@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
d28348d1-e143-4b67-813e-623219ad6061,29161b34-e117-4824-bfcb-953ffad02292,Quent,Pennie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97 Gordon Terrace,BARTON BENDISH,#N/A,PE33 1YD,UK,#N/A,#N/A,#N/A,070 4352 5277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+66@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
d4423ebf-d66a-4673-817d-3e044933b1b8,75561466-193e-4eae-bd1e-41249cd5ad5d,Mile,Myriam,#N/A,27 Temple St,Victoria Park,WA,6100,Australia,#N/A,#N/A,#N/A,27 Temple St,Victoria Park,WA,6100,Australia,#N/A,#N/A,#N/A,(08) 8365 8739,(08) 8365 8739,0416 312 825,#N/A,#N/A,(08) 8365 8739,#N/A,jmanningcongagdo+746@gmail.com,"Manager, Sales Operations",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
6588aae0-579f-4633-a29d-68209d436218,3f6dee38-2658-44cd-a40b-87cc78d03db2,Amos,Jon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,(905) 555-1212,(555) 555-1212,#N/A,#N/A,#N/A,#N/A,#N/A,info@salesforce.com,Sales Manager,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A
60f3d568-17ba-4ca4-bd08-d57ae1c07d37,cc4a551d-9b1e-436c-8750-9d01a7474ff8,Chuck,Dorena,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97 Gordon Terrace,BARTON BENDISH,#N/A,PE33 1YD,UK,#N/A,#N/A,#N/A,070 4352 5277,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+60@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
a5befbb0-f9bb-4332-b3e0-64ab2f26a634,423dfe9f-56a8-4b45-8e85-f7d46b733993,Dav,Bridget,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39 Crown Street,London,#N/A,SW6 0EP,UK,#N/A,#N/A,#N/A,077 6365 8742,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+29@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
08ad03cf-fd74-43d7-83d0-1f3c11ffd69c,abc83ef9-da92-4def-a496-add99d8130d3,Alva,Mabel,#N/A,348 St Kilda Road,Melbourne,VIC,3004,Australia,#N/A,#N/A,#N/A,348 St Kilda Road,Melbourne,VIC,3004,Australia,#N/A,#N/A,#N/A,(03) 6914 6514,(03) 6914 6514,0424 405 164,#N/A,#N/A,(03) 6914 6514,#N/A,jmanningcongagdo+99@gmail.com,VP of Sales,Sales,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
3fdcf0ff-aeed-4bca-ba99-9259c4210ad5,faf73a0b-3ce6-4660-9ade-528e49e80c9d,Glenden,Alena,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+805@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
5e5bc972-2107-412b-b23d-3cc45240f52b,3f405cd8-d4a1-4006-ba55-65a2c175c053,Ian,Vonni,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(402)952-5053,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+218@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
d7cf9993-8fc3-4c35-b696-0165e867eff4,0890434b-58c0-4f22-bdc1-91fab65581f1,Blogspan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
4829fd70-78b8-474d-af65-aafd9032a6d0,2fcdd8c9-0ef6-4d8f-809a-44169a9923a6,Kory,Amalea,#N/A,28 Short St,Auburn,NSW,2040,Australia,#N/A,#N/A,#N/A,28 Short St,Auburn,NSW,2040,Australia,#N/A,#N/A,#N/A,(02) 7321 6015,(02) 7321 6015,0416 875 230,#N/A,#N/A,(02) 7321 6015,#N/A,jmanningcongagdo+105@gmail.com,EVP Business Development,Business Development,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
297bf5af-3213-4b52-981d-020aa804c4aa,894f8589-e3d9-445e-a952-a4e403b80bec,Garrick,Mellicent,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+751@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
39334db0-f73e-47cb-8e7d-b5820de92ccc,ef77bb6c-faea-4b38-8f6c-457b170bf796,Ave,Lissie,#N/A,#N/A,Flushing,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,066 Grayhawk Road,#N/A,NY,11355,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+682@gmail.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
b0dfba0d-72b9-4617-922d-0ccf61926fe8,64b914dc-3ad3-4059-9b9d-47571e793885,Augie,Dulce,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3952,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+570@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
ed92508f-b67c-4432-85ad-d422dc770930,4441ca6d-9069-4c67-8178-7d1688499c43,Kevin,Elmira,#N/A,57 Clifton Dr,Bacchus Marsh,VIC,3340,Australia,#N/A,#N/A,#N/A,57 Clifton Dr,Bacchus Marsh,VIC,3340,Australia,#N/A,#N/A,#N/A,(03) 6944 8811,(03) 6944 8811,0415 401 790,#N/A,#N/A,(03) 6944 8811,#N/A,jmanningcongagdo+785@gmail.com,General Counsel,Legal,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
9e419da0-3abc-4d84-a61d-a58c7480d51f,82de2384-eddb-4239-9a6e-75f6b366e0ca,Kevin,Elmira,#N/A,57 Clifton Dr,Bacchus Marsh,VIC,3340,Australia,#N/A,#N/A,#N/A,57 Clifton Dr,Bacchus Marsh,VIC,3340,Australia,#N/A,#N/A,#N/A,(03) 6944 8811,(03) 6944 8811,0415 401 790,#N/A,#N/A,(03) 6944 8811,#N/A,jmanningcongagdo+785@gmail.com,General Counsel,Legal,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
cba27b88-4c35-4a02-9c32-ebd7e737259a,ed92f76a-55f1-4a99-9474-a4d121cc76b7,Kain,Hermine,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,011 49 69 3576 6843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+547@gmail.com,"Vice President, IT",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
